Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
172.040	2.07000	31.1769	0.0320751	8.13913	9.20429	58.7623	29.0449	55.1919	292.835	13.9167	7.02541	0.0233248	vapor
177.590	2.07000	28.9701	0.0345184	8.34903	9.49534	60.4277	28.1782	50.1553	304.842	12.7928	7.25741	0.0232807	vapor
183.150	2.07000	27.1996	0.0367653	8.54402	9.76494	61.9228	27.6516	47.0363	315.398	11.8540	7.47495	0.0234852	vapor
188.710	2.07000	25.7228	0.0388760	8.72911	10.0201	63.2955	27.2859	44.8741	324.957	11.0496	7.68469	0.0238910	vapor
194.260	2.07000	24.4600	0.0408831	8.90687	10.2645	64.5722	27.0168	43.2798	333.757	10.3483	7.88908	0.0241084	vapor
199.820	2.07000	23.3553	0.0428168	9.07974	10.5016	65.7756	26.8150	42.0549	341.983	9.72590	8.09028	0.0244505	vapor
205.370	2.07000	22.3785	0.0446858	9.24832	10.7323	66.9141	26.6654	41.0945	349.711	9.16988	8.28836	0.0248873	vapor
210.930	2.07000	21.5017	0.0465081	9.41407	10.9585	68.0013	26.5577	40.3267	357.045	8.66714	8.48456	0.0253742	vapor
216.480	2.07000	20.7102	0.0482855	9.57709	11.1806	69.0404	26.4853	39.7089	364.015	8.21105	8.67851	0.0258929	vapor
222.040	2.07000	19.9876	0.0500310	9.73846	11.3999	70.0408	26.4427	39.2072	370.692	7.79328	8.87113	0.0264370	vapor
227.590	2.07000	19.3261	0.0517434	9.89802	11.6164	71.0036	26.4263	38.8006	377.085	7.40996	9.06188	0.0270000	vapor
233.150	2.07000	18.7151	0.0534329	10.0567	11.8311	71.9360	26.4331	38.4709	383.247	7.05532	9.25155	0.0275809	vapor
238.710	2.07000	18.1489	0.0550998	10.2145	12.0443	72.8395	26.4607	38.2062	389.188	6.72646	9.43986	0.0281769	vapor
244.260	2.07000	17.6231	0.0567438	10.3713	12.2557	73.7151	26.5073	37.9969	394.919	6.42089	9.62654	0.0287858	vapor
249.820	2.07000	17.1312	0.0583731	10.5280	12.4665	74.5684	26.5716	37.8349	400.477	6.13498	9.81229	0.0294089	vapor
255.370	2.07000	16.6712	0.0599838	10.6842	12.6761	75.3984	26.6520	37.7147	405.856	5.86764	9.99649	0.0300436	vapor
260.930	2.07000	16.2382	0.0615833	10.8405	12.8856	76.2097	26.7480	37.6309	411.088	5.61609	10.1798	0.0306917	vapor
266.480	2.07000	15.8310	0.0631673	10.9966	13.0943	77.0011	26.8582	37.5799	416.164	5.37967	10.3616	0.0313508	vapor
272.040	2.07000	15.4458	0.0647426	11.1531	13.3031	77.7769	26.9823	37.5583	421.113	5.15621	10.5425	0.0320232	vapor
277.590	2.07000	15.0819	0.0663047	11.3097	13.5116	78.5354	27.1192	37.5632	425.926	4.94534	10.7220	0.0327063	vapor
283.150	2.07000	14.7362	0.0678601	11.4670	13.7205	79.2806	27.2688	37.5925	430.627	4.74532	10.9006	0.0334027	vapor
116.480	2.41000	417.535	0.00239501	0.229527	0.322125	2.05101	32.7470	55.9588	1312.68	-0.405922	109.276	0.179580	liquid
122.040	2.41000	409.246	0.00244352	0.540693	0.635167	4.67623	32.3631	56.6655	1257.06	-0.378689	97.8632	0.171777	liquid
127.590	2.41000	400.655	0.00249591	0.855416	0.951916	7.21426	32.0000	57.5033	1200.17	-0.346054	87.9138	0.163923	liquid
133.150	2.41000	391.672	0.00255315	1.17565	1.27436	9.68778	31.6587	58.5174	1141.56	-0.306369	79.1204	0.156013	liquid
138.710	2.41000	382.232	0.00261621	1.50191	1.60306	12.1061	31.3435	59.7670	1081.00	-0.257540	71.2994	0.148069	liquid
144.260	2.41000	372.244	0.00268641	1.83509	1.93896	14.4803	31.0599	61.3395	1018.13	-0.196566	64.3017	0.140096	liquid
149.820	2.41000	361.523	0.00276608	2.17848	2.28543	16.8366	30.8147	63.3839	952.067	-0.118465	57.9652	0.132038	liquid
155.370	2.41000	349.882	0.00285811	2.53394	2.64444	19.1893	30.6214	66.1394	882.052	-0.0157931	52.1886	0.123871	liquid
160.930	2.41000	336.919	0.00296807	2.90768	3.02244	21.5793	30.5017	70.0908	806.232	0.125599	46.8260	0.115467	liquid
166.480	2.41000	322.034	0.00310526	3.30714	3.42720	24.0514	30.5031	76.3021	721.946	0.333164	41.7487	0.106679	liquid
177.590	2.41000	36.0659	0.0277270	8.18711	9.25913	58.1463	29.2106	58.0363	294.675	13.0455	7.39308	0.0248655	vapor
183.150	2.41000	33.4031	0.0299373	8.40664	9.56411	59.8377	28.3462	52.2171	307.113	12.0220	7.60571	0.0247300	vapor
188.710	2.41000	31.2989	0.0319500	8.60855	9.84384	61.3426	27.8125	48.6537	317.962	11.1628	7.80884	0.0249487	vapor
194.260	2.41000	29.5623	0.0338269	8.79885	10.1067	62.7156	27.4404	46.2089	327.728	10.4246	8.00686	0.0249519	vapor
199.820	2.41000	28.0813	0.0356108	8.98157	10.3584	63.9932	27.1662	44.4136	336.717	9.77631	8.20223	0.0251654	vapor
