Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.000	0.600000	3.89840	0.256515	12.1178	14.5869	92.3221	27.5578	36.3348	448.203	4.29369	11.2029	0.0345439	vapor
300.000	0.700000	4.55585	0.219498	12.1064	14.5713	91.0024	27.5736	36.4302	447.906	4.28786	11.2171	0.0346107	vapor
300.000	0.800000	5.21552	0.191735	12.0949	14.5557	89.8540	27.5895	36.5263	447.612	4.28195	11.2315	0.0346781	vapor
300.000	0.900000	5.87742	0.170143	12.0834	14.5400	88.8365	27.6054	36.6230	447.322	4.27595	11.2461	0.0347460	vapor
300.000	1.00000	6.54154	0.152869	12.0719	14.5244	87.9223	27.6213	36.7206	447.035	4.26987	11.2610	0.0348145	vapor
300.000	1.25000	8.21166	0.121778	12.0430	14.4851	85.9710	27.6611	36.9675	446.336	4.25429	11.2992	0.0349883	vapor
300.000	1.49000	9.82820	0.101748	12.0152	14.4473	84.4181	27.6994	37.2089	445.687	4.23881	11.3372	0.0351588	vapor
300.000	1.75000	11.5941	0.0862505	11.9848	14.4062	82.9800	27.7410	37.4753	445.009	4.22143	11.3801	0.0353477	vapor
300.000	2.00000	13.3066	0.0751505	11.9554	14.3666	81.7724	27.7811	37.7361	444.384	4.20412	11.4229	0.0355336	vapor
300.000	2.25000	15.0334	0.0665186	11.9258	14.3269	80.6953	27.8212	38.0017	443.786	4.18618	11.4672	0.0357239	vapor
300.000	2.49000	16.7045	0.0598641	11.8973	14.2887	79.7583	27.8597	38.2612	443.237	4.16836	11.5113	0.0359108	vapor
300.000	2.74000	18.4593	0.0541732	11.8675	14.2488	78.8642	27.8999	38.5361	442.694	4.14915	11.5589	0.0361101	vapor
300.000	2.99000	20.2285	0.0494353	11.8374	14.2087	78.0391	27.9400	38.8157	442.180	4.12926	11.6081	0.0363142	vapor
300.000	3.25000	22.0836	0.0452825	11.8060	14.1670	77.2424	27.9818	39.1116	441.678	4.10785	11.6610	0.0365317	vapor
300.000	3.50000	23.8820	0.0418725	11.7757	14.1268	76.5263	28.0220	39.4010	441.228	4.08653	11.7137	0.0367459	vapor
