# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
1.710200000000000102e+02	1.636619999999999919e+01	2.817521326635900100e-03	2.831569999999999834e-03	2.213027717741333777e-02
1.713199999999999932e+02	1.863009999999999877e+01	2.781730307463500026e-03	2.801070000000000122e-03	-1.522788704710310859e-02
1.710200000000000102e+02	2.108320000000000149e+01	2.747636178371700138e-03	2.764449999999999893e-03	1.012686041699647349e-02
1.710200000000000102e+02	2.381680000000000064e+01	2.713339904463700058e-03	2.731439999999999910e-03	4.310755301069169043e-03
1.710200000000000102e+02	2.680020000000000024e+01	2.679486128578900152e-03	2.699089999999999909e-03	4.494285105311732198e-03
1.710200000000000102e+02	3.008079999999999998e+01	2.634945992302400054e-03	2.667099999999999940e-03	5.285525117701611597e-03
1.728120000000000118e+02	2.691800000000000193e+00	3.298003536409600204e-03	3.301029999999999937e-03	2.321153295705410957e-03
1.728120000000000118e+02	3.417600000000000193e+00	3.244201240086800209e-03	3.248340000000000168e-03	4.790296309340441594e-03
1.728120000000000118e+02	4.311099999999999710e+00	3.190084462079799919e-03	3.195229999999999859e-03	7.296878532589652633e-03
1.723120000000000118e+02	5.364099999999999646e+00	3.138217347686299893e-03	3.130449999999999899e-03	4.291553494374718281e-03
1.728120000000000118e+02	6.553200000000000358e+00	3.088285191723100145e-03	3.094700000000000142e-03	9.054100279955609731e-03
1.728120000000000118e+02	7.894300000000000317e+00	3.026135436579700019e-03	3.048079999999999887e-03	5.237227055408846463e-03
1.728120000000000118e+02	9.395599999999999952e+00	3.024579243220000026e-03	3.003440000000000016e-03	2.165545797868057704e-03
1.728120000000000118e+02	1.103110000000000035e+01	2.952417783933299934e-03	2.961440000000000079e-03	-5.466418514447728139e-03
1.728120000000000118e+02	1.239559999999999995e+01	2.911345726241099888e-03	2.930419999999999987e-03	3.641030498596545262e-02
1.728120000000000118e+02	1.487289999999999957e+01	2.871387498773600097e-03	2.881190000000000053e-03	3.613611591457198402e-03
1.723120000000000118e+02	1.694579999999999842e+01	2.832974637193899897e-03	2.838919999999999985e-03	2.629537023755429415e-04
1.728120000000000118e+02	1.933980000000000032e+01	2.795513290624899918e-03	2.808670000000000090e-03	3.291385032438670644e-03
1.728120000000000118e+02	2.190909999999999869e+01	2.758602456244099981e-03	2.773639999999999960e-03	8.245168908900396554e-04
1.728120000000000118e+02	2.474940000000000140e+01	2.722499067707400203e-03	2.739080000000000074e-03	1.030114264462311802e-03
1.723120000000000118e+02	2.791570000000000107e+01	2.686842056192900209e-03	2.699930000000000125e-03	6.468626847222394560e-03
1.728120000000000118e+02	3.134309999999999974e+01	2.651746006093900088e-03	2.671279999999999835e-03	-1.466796598766167969e-03
1.795260000000000105e+02	3.828800000000000203e+00	3.492394974672699982e-03	3.503650000000000080e-03	1.281233335519189886e-02
1.795260000000000105e+02	4.391399999999999970e+00	3.428497404373699858e-03	3.438969999999999961e-03	-6.291789850644591980e-03
1.795260000000000105e+02	5.037499999999999645e+00	3.366895989094900125e-03	3.379340000000000208e-03	1.494799891770862144e-02
1.795260000000000105e+02	5.836700000000000443e+00	3.308732991772300128e-03	3.319279999999999974e-03	6.577230039830399277e-03
1.795260000000000105e+02	6.735199999999999854e+00	3.252613273102899789e-03	3.263659999999999825e-03	-3.597026488603530248e-02
